South Africa: Beach Clean-Up to Mark World Oceans Day,"Pretoria — The Department of Environmental Affairs (DEA) will host the annual World Oceans Day (WOD) celebrations on Friday at the Umgeni River Mouth (Blue Lagoon estuary and beach) in KwaZulu-Natal.

""The event will serve as a platform to educate the public about the importance of our oceans and emphasise the need to contribute towards its protection through a beach clean-up, which will be led by the Deputy Minister of Environmental Affairs, Barbara Thomson, and exhibitions by the department's internal and external stakeholders,"" the department said on Monday.

This year's event will draw attention to the ongoing threats posed by plastic litter to the ocean environment. It will also raise awareness of how litter that is generated in catchment areas can eventually reach the coastline through rivers, storm water drains and sewer outfalls.

The Umgeni estuary is significant not only because of the sensitive mangroves situated along its north bank, but because it is a highly sought after site for camping, recreation and fishing and it connects the Umgeni River to the Indian Ocean.

At the event, the department will also launch the new cycle of the Working for the Coast programme.

The new cycle constitutes a total budget allocation of R303 million, which will run for two years, covering the entire South African coastline from Alexander Bay in the Northern Cape to Kosi Bay in KwaZulu-Natal.

This programme and related projects will generate approximately 2 407 work opportunities and 5 526 fulltime equivalent over two years.

""WOD is commemorated globally on 8 June and is aimed at appreciating, protecting, restoring and honouring ecosystem services and resources provided by our oceans,"" the department said.",waste
More platforms needed to patrol and protect South African maritime resources,"More platforms needed to patrol and protect South African maritime resources

The time-honoured military adage of not being able to control what one cannot patrol has taken on added importance in the South African context since last year’s announcement by the President of the initiative to boost the blue economy as one part of Operation Phakisa, a multi-pronged government programme to fast track economic activity and growth.An integral part of the blue economy Jacob Zuma unveiled in KwaZulu-Natal was maritime security with the SA Navy being the obvious agency to lead in conjunction with other players including the Department of Agriculture, Forestry and Fisheries (DAFF), the SA Police Service, SA Revenue Service (SARS) and provincial conservation and environmental protection departments.At a national level the Navy is short-handed when it comes to platforms to patrol the 2.4 million kilometres that comprises South Africa’s exclusive economic zone (EEZ). In addition to ensuring high levels of maritime security for the resources in this massive chunk of sea – called by many the country’s 10th province – South Africa is also responsible for search and rescue and hydrographic operations in this body of water.According to an undated SA Navy publication: “South Africa declared an EEZ out to 200 nautical miles seaward from the coastal baselines of both South Africa and its possessions in the Southern Ocean, Marion and Prince Edward Islands — situated some 2 000 kilometres to the south-east. The Maritime Zones Act also covers the internal waters (waters to landward of the baselines), territorial waters (12 nautical miles), the contiguous and maritime zones (24 nautical miles), the EEZ and the continental shelf. All these zones fall within South Africa's jurisdiction for monitoring, control and enforcement of state authority. This comprises a total of some 2.4 million square kilometres of assets”.At present the maritime arm of the SA National Defence Force (SANDF) can call on its four Valour Class frigates, three Heroine Class submarines and three offshore patrol vessels (revamped Warrior Class strikecraft), to patrol these waters. Similarly the SA Air Force (SAAF) is also limited in its maritime capability. This relies entirely in AFB Ysterplaat-based 35 Squadron in the revamped C-47TPs, some of which are 70 years old. The air force operates four Super Lynx maritime helicopters which are deployed aboard the frigates, providing aerial observation and surveillance to boost shipboard systems.So the observation by Institute for Security Studies (ISS) conflict management and peacebuilding researcher Timothy Walker that “patrolling will be vital to both deter and interdict maritime criminals” points to more platforms for deployment in the EEZ.“The waters around South Africa can be some of the worst in the world, but seeing them as our ‘10th province’, as many now do, compels us to patrol them nonetheless and take our responsibilities for search and rescue and hydrography with greater seriousness and urgency too. South Africa needs new vessels and aerial surveillance assets, but even with the project increase under Project Biro, its capability will be insufficient to constantly and thoroughly safeguard its maritime domain against maritime crimes such as illegal fishing,” he said.Tender submissions are currently being evaluated by Armscor for Project Biro which will see the Navy obtain six new platforms consisting of three inshore and three offshore patrol vessels to boost seaborne patrol capability.Walker maintains it is important, in the overall context of both Operation Phakisa and the African maritime strategy into the future, for South Africa to co-operate and co-ordinate its actions with “neighbours in the region to provide common security through pooling capacity and sharing information”. He would also like to see further exploration of the coast guard/constabulary role as far as it concerns long term outcomes for continental maritime security.On the negative side at present he feels the Southern African Development Community (SADC) maritime strategy could provide some pointers “but it remains confidential”.",public concern
Protecting the oceans from plastic starts inland,Starbucks has established itself as the undisputed king of retail coffee chains. Now one Wall Street analyst thinks it can overtake McDonald’s as the world’s most valuable restaurant chain,public concern
Poachers nabbed with 138 crayfish,"Cape Town - Members of the City of Cape Town’s Marine and Environmental Law Enforcement Unit have arrested five alleged poachers and confiscated West Coast rock lobster valued at R6 000.

The City’s Mayoral Committee Member for Safety and Security, JP Smith, said two members of the marine law enforcement unit had been conducting sea patrols along with Table Mountain National Parks staff, between Cape Point and Witsand, on Monday when they noticed suspicious activity.

“The officers spotted a boat near Olifantsbos in the Cape Point section of Table Mountain National Park and, on closer inspection, found that the occupants were fishing illegally for West Coast rock lobster,” he said in a statement on Wednesday. “Officers confiscated 138 lobsters, with an estimated street value of R6 000. They arrested the five occupants on the boat on charges of fishing in a restricted zone. The men, all residents of Ocean View, were processed at the Simon’s Town police station. Three of them have previous convictions for poaching. Their vessel was also impounded and booked in at the Stikland, Bellville South, police impound lot.

“The rock lobster season closed three weeks ago but, as this incident proves, there are those who insist on ignoring the law and plundering our marine living resources for personal gain. Our officers and other agencies involved in policing our coastal waters work very hard to try and maintain law and order, but their jobs are made all the more difficult by people like these. It concerns me that three of the suspects have previous convictions for the same offence as it simply means that the punishment meted out previously was not a sufficient deterrent,” said Smith.

Over Easter, the City’s Marine and Environmental Law Enforcement Unit teamed up with other enforcement agencies including the Department of Agriculture, Forestry and Fisheries, the South African Police Service, and Table Mountain National Parks for an integrated operation to promote compliance with the Marine Living Resources Act and the small vessel regulations and to signal the close of the recreational rock lobster fishing season.

The City’s Mayoral Committee Member for Energy, Environmental and Spatial Planning, Johan van der Merwe, said: “We checked nearly 150 vessels for seaworthiness as well as the certification of all skippers. Nearly all of the vessels were compliant - a sign that the majority of our recreational fishers respect the laws and understand the importance of responsible fishing to ensure sustainability of the very resources that provide their livelihood. It is a pity that the actions of a minority continue to taint the industry. I appeal to law-abiding fishermen to help us root out those with ill intent by blowing the whistle on their nefarious activities.”",illegal fishing
Massive lobster ‘walkout’,"TWO hundred tons of West Coast rock lobster – starved of oxygen because of the red tide – have died at Elands Bay after a mass “walkout”.

Yesterday morning 80 tons of lobster were stranded in Elands Bay, the latest casualties since the start of the red tide about 10 days ago.

About 30 tons of lobster walked out on Monday and more than 70 tons on Tuesday.

The fisheries branch of DAFF said yesterday about six tons of live lobster had been rescued on Monday, but the bulk of the stranded lobsters had died and were being collected and dumped at a municipal dump site.

Rescued lobsters were removed and released in areas on the West Coast unaffected by red tide.

These mass strandings come at a time when the lobster resource is already under severe pressure from over-fishing – particularly illegal fishing – which has caused stocks to be reduced to less than 3 percent of what they were before they were commercially exploited.

While staff are clearing up the dead lobster, the beaches and roads leading to them have been closed to the public. Police and municipal officials are patrolling the area.

The algal bloom that caused the lobster walkouts is now moving south from Elands Bay. It is around 80km long and about 3km wide, stretching from Dwarskersbos on the West Coast to north of the Oliphant’s River

Officials from municipalities and DAFF, as well as volunteers, are helping to clean the beaches.

Laura Blamey, of UCT’s Marine Research Institute, said yesterday losing 200 tons of lobster to the red tide was significant.

“For a resource that is so overfished, that’s a lot – especially on the West Coast where catches have dropped. The lobster resource is already just 2.5 percent of what it was in its pristine condition, so losing 200 tons is a lot,” Blamey said.

Algal blooms happen after south-easterly winds cause upwelling from the sea bottom, bringing nutrients to the surface.

This creates an abundance of food for plankton, which results in a population explosion of these tiny organisms, known as an algal bloom.

The density of the algae turns the sea surface red or brown.

If the upwelling is followed by a long period of calm with little wind to disperse the algal bloom, the plankton are not dispersed. When the algae die and decompose, the decomposition bacteria deplete the oxygen in the water. If the oxygen becomes too low, marine animals leave the area – or die.

Lobster move into the surf zone where there is likely to be more oxygen because of the wave action. When the tide recedes, the animals are stranded, too weak to move back with the tide, and suffocate.

Blamey said there was a lot of variability with upwelling, which depended on the wind. If there were a lot of south-easterlies, and the winds were constant, the upwelling would move offshore.

If the upwelling was followed by periods of calm, the algal bloom did not disperse and led to a red tide.

“There’s been a lot of wind in December and January, but not the strong south-easters for days on end. They’ve switched to south-westerlies or northerlies.”

In 1997, South Africa experienced its worst-ever rock lobster mortality from red tides when about 2 000 tons died from lack of oxygen on the West Coast.",red tide
"Abalone worth R9m seized, 2 arrested in WC","CAPE TOWN - Abalone worth R9 million has been seized in a bust near Langebaan.

Police, along with Fisheries Department officials, swooped on a smallholding yesterday where they also arrested two men.

Dagga plants and equipment used for cooking and drying perlemoen have also been confiscated.",illegal fishing
Lobster warning as red tide spreads,"This pushes the total tonnage of the lobster mortalities to over 200 tons, the Department of Agriculture, Forestry and Fisheries said in a statement.

Last weekend, nearly 30 tons of lobster washed out or got stranded in Eland’s Bay and around 6-tons were rescued during the cleanup operation. The mortalities were dumped at a municipal dumping site.

On Monday morning an estimated 30-tons, mostly mortalities, washed out in the same area and another 70-tons washed out yesterday.

The cleanup operation will continue and the Eland’s Bay beachfront remain closed to the public. Access roads to other beach areas, where there are possible signs of a walkout or washout, are also closed to the public.

The department says it will continue to monitor the bloom, that has now moved southwards.",red tide
Trained team help free playful whale from fishing rope,"Cape Town – Trained volunteers were kept busy on Wednesday morning as they freed a playful whale entangled in fishing rope off the coast of Cape Town.



Paddlers had apparently first spotted the juvenile 9m southern right whale off Bantry Bay on Tuesday night, said SA Whale Disentanglement Network (SAWDN) spokesperson Craig Lambinon.

Both paddlers and beachgoers had reported seeing the whale on Wednesday morning and a National Sea Rescue Institute craft was launched to assist.

“The whale, appearing to be healthy and able to move freely, had fishing rope around the front flippers, over its back and wrapped between the two flippers,” said Lambinon.

Two small flotation buoys were attached to the four ropes.

The team attempted to cut the rope free but the whale kept moving out of reach of the long cutting poles towards deeper water.

Lambinon said that although the sea was calm, there was poor water visibility and the whale dived beneath the surface at intervals.

The volunteers managed to attach a lead rope to the whale so that they could follow it.

It stopped in a bed of kelp about five nautical miles (9.2km) off Three Anchor Bay.

SAWDN head, Mike Meyer, who was on the rescue craft, told News24 that it looked as though the whale was playing with a piece of kelp.

As the whale was calm and friendly, the crew were able to get close enough to begin cutting the rope without hindrance.

The team believed it managed to cut all four ropes before they lost visibility as a dense fog started rolling in.

“There is the possibility that one rope remained and although that rope is not hindering the whale's freedom of movement, SAWDN are prepared to respond to any further sightings made of the whale in the area and once visibility improves, to examine if a rope remains,” said Lambinon.

Meyer urged members of the public to report sightings rather than try to assist whale themselves. “This is dangerous work and we have the right equipment,” he said.",waste
Organised crime unit investigating R5m abalone haul on Intercape bus,"Cape Town - The police’s organised crime unit is investigating an abalone haul, now confirmed to be worth R5m, which was found on an Intercape bus when an anonymous tip-off led to a raid at the Cape Town station bus terminal on Wednesday.

Fifty boxes of abalone, weighing about 1 000kg, were discovered on the bus bound for Pretoria when the City of Cape Town's Marine Unit acted on the information.

Police spokesperson Captain FC Van Wyk said no suspects had been found on the scene and no arrests had yet been made.

The contraband was handed over to the Sea Border Policing Unit, he confirmed.

Mayoral committee member for safety and security, JP Smith, to whom the tip-off was directed, alleged it was known that ""poached marine goods are exchanged for drugs and one must wonder how much drugs and guns have been transported into Cape Town smuggled in the bottom of these buses"".

He called for the police and the Hawks to investigate Intercape and its owners.

But the company in a statement said it was ""apparent that Mr Smith may have reacted in haste before the facts were determined"".

Intercape said it was because of its swift action that the bust was carried out.

The company said it had various crime prevention measures in place, including personnel training, an internal investigation unit comprising former police members, sniffer dogs and a tip-off line for members of the public to report crime.

""We will continue in our efforts to prevent our services and vehicles from being used for any criminal purposes. We will also call on the support in such efforts from the City of Cape Town with a view on improving infrastructural security measures at Cape Town station, which could further assist in the fight against crime,"" the statement reads.

The company said it would further assist and cooperate with the authorities in their further investigations and condemned the use of its vehicles for criminal purposes.

Smith, however, maintained that the haul was too big for it not to have been noticed.

""If anyone in that company should be found to have been involved, there should be repercussions,"" he said.",illegal fishing
Operation Phakisa to transform Durban docks,"File: R7-billion has been allocated to the Transnet National Ports Authority to improve ports and build a new facility in Hibberdene on the KwaZulu-Natal coast. Video: eNCA

DURBAN - Durban is re-positioning itself as a major port for ship building and repairs.

Dry docks built almost a century ago are being refurbished and they are expected to attract more shipping to the country's largest harbour.

The overhaul is part of government's Operation Phakisa: The Oceans Economy that was launched two years ago.

Once completed, Durban will be able to build and repair more ships.

""The port of Durban is the biggest port we have in the country and in sub-Saharan Africa, however, we still were not claiming to be the biggest when it comes to ship repair,” said Durban Port Manager Moshe Motlohi.

“Now we trying to reinstate that leadership role of being a market leader in this space as well.

“And we want to enable the companies that are having businesses in the port to really begin to make money.

“And we know, if we get the dock working as it is a case right now, we going to have Durban remaining the centre of innovation for Africa.

“The capability building that is going to come from this facility is going to put us in a good stead to compete for other businesses in the continent"".

The goal is to always have two vessels being worked on around the clock, creating more jobs.

Port officials also want to attract oil rigs that are working off the east coast of Africa.

Of the 12 Operation Phakisa projects planned for Durban, three have been completed, with the fourth, half way there.

""The one that we have completed, the biggest of them all is the repair of the outer caisson dock,” Motlohi said.

“This is the dock that is being used to stop water from the ocean from coming into the dock to keep it dry. So that people working in there, can work in a safe environment.

“That was a big project that created about 68 jobs then there were 20 other indirect jobs that were created as a result of that. That project was done by a local company, Durban-based.

“And I'm proud to say that amongst our engineers working on that project we had females taking a prominent role in that project"".

R7-billion has been allocated to the Transnet National Ports Authority to improve ports and build a new facility in Hibberdene on the KwaZulu-Natal coast.",development
