headlines,publication_date,url,location,event_date,category,date,extracted_location,coordinates,latitude,longitude
Unprotected and open to plunder,2016-05-29,http://www.iol.co.za/news/south-africa/kwazulu-natal/unprotected-and-open-to-plunder-2027688,Eastern Cape,,illegal fishing,2016-05-29 00:00:00.000000000,['Eastern Cape'],"(-32.153662522243, 26.446366021832)",-32.153662522243,26.446366021832
R303m dedicated towards protecting parts of SA's coastline,,http://traveller24.news24.com/Explore/Green/r303m-dedicated-towards-protecting-parts-of-sas-coastline-20160613,"Umgeni River Mouth, near the Blue Lagoon estuary and beach in Durban",2016-06-08 00:00:00.000000000,waste,2016-06-08 00:00:00.000000000,"['Umgeni River Mouth', 'Blue Lagoon', 'Durban']","(-29.804, 30.9926)",-29.804,30.9926
South Africa: Beach Clean-Up to Mark World Oceans Day,2016-06-13,http://allafrica.com/stories/201606131641.html,"Umgeni River Mouth, near the Blue Lagoon estuary and beach in Durban",2016-06-08 00:00:00.000000000,waste,2016-06-08 00:00:00.000000000,"['Umgeni River Mouth', 'Blue Lagoon', 'Durban']","(-29.804, 30.9926)",-29.804,30.9926
Spare a thought on World Oceans Day,2016-06-07,http://www.iol.co.za/capetimes/spare-a-thought-on-world-oceans-day-2031747,KwaZulu-Natal South Coast and Seaforth Beach in Simon’s Town.,2016-06-08 00:00:00.000000000,sea life,2016-06-08 00:00:00.000000000,"['Seaforth Beach', 'Simon’s Town']","(-34.2, 18.45)",-34.2,18.45
CSIR’s SeaFAR aiding authorities to protect SA’s exclusive economic zone,,http://www.csir.co.za/news/2016/06/Watching%20for%20'dark%20targets'%20from%20afar.html,South Africa,2015-05-01 00:00:00.000000000,development,2015-05-01 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Turning the tide on poaching: Will new policy keep illegal fishing at bay?,2016-06-06,http://ewn.co.za/2016/06/06/Turning-the-tide-on-poaching-Will-new-fishing-policy-keep-illegal-fishing-at-bay,South Africa,2016-03-08 00:00:00.000000000,illegal fishing,2016-03-08 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
CSIR technology “sees” vessels even if Automatic Identification Systems are off,2016-06-03,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=43768&catid=74&Itemid=30,South Africa,2015-05-01 00:00:00.000000000,illegal fishing,2015-05-01 00:00:00.000000000,['South Africa'],"(-28.997182288, 25.08504994)",-28.997182288,25.08504994
Navy plays major role in impounding 600 tons of squid and other fish as well as foreign trawlers,2016-05-26,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=43634:navy-plays-major-role-in-impounding-600-tons-of-squid-and-other-fish-as-well-as-foreign-trawlers&catid=108:maritime-security,East London harbour,,illegal fishing,2016-05-26 00:00:00.000000000,['East London'],"(-33.01529, 27.91162)",-33.01529,27.91162
Another three Chinese fishing trawlers escorted into a SA port,2016-05-23,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=43580:another-three-chinese-fishing-trawlers-escorted-into-a-sa-port&catid=108:maritime-security,East London harbour,2016-05-23 00:00:00.000000000,illegal fishing,2016-05-23 00:00:00.000000000,['East London'],"(-33.01529, 27.91162)",-33.01529,27.91162
SAMSA investigating seized Chinese trawler,2016-05-17,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=43522:samsa-investigating-seized-chinese-trawler&catid=108:maritime-security,"South African Territorial Waters around Port Edward heading south, towards the Eastern Cape",,illegal fishing,2016-05-17 00:00:00.000000000,"['Port Edward', 'Eastern Cape']","(-31.030603873162, 30.231315985154)",-31.030603873162,30.231315985154
More platforms needed to patrol and protect South African maritime resources,2015-12-07,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=41716:more-platforms-needed-to-patrol-and-protect-south-african-maritime-resources&catid=108:maritime-security,,,public concern,2015-12-07 00:00:00.000000000,South Africa,"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
"6 Overberg men arrested with R61 500 worth of crayfish, abalone",2016-06-15,http://www.news24.com/SouthAfrica/News/6-overberg-men-arrested-with-r61-500-worth-of-crayfish-abalone-20160615,Gordon's Bay,2016-06-13 00:00:00.000000000,illegal fishing,2016-06-13 00:00:00.000000000,"[""Gordon's Bay""]","(-34.144718, 18.8586825)",-34.144718,18.8586825
"Our livelihoods, traditions are under threat' - Langebaan net-fishers",2016-06-09,http://www.news24.com/SouthAfrica/News/our-livelihoods-traditions-are-under-threat-langebaan-net-fishers-20160609,Western Cape High Court,2016-06-09 00:00:00.000000000,public concern,2016-06-09 00:00:00.000000000,['Western Cape High Court'],"(-33.781204103784, 18.719385919171)",-33.781204103784,18.719385919171
